Finding No.,Support Type,Insulation,Fluid,Operating Temperature (minimum),Operating Temperature (maximum),Material,Coating,Primer,Mist,Intermediate,Finish,Anti-Corrosion,Environment,Severity
Propylene-P07-R05,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P08-R01,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P08-R02,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P08-R03,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P08-R04,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P08-R05,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P05-R01,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P05-R02,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P05-R03,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P05-R04,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P05-R05,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P06-R01,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P06-R02,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P06-R03,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P06-R04,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P06-R05,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P07-R01,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P07-R02,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P07-R03,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P07-R04,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Solvent-P07-R05,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P08-R01,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P08-R02,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P08-R03,Guide,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P08-R04,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Solvent-P08-R05,Pipework resting on beam,No,Hexane,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P05-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P05-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P05-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P05-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P05-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P06-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Sulfuric-P06-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P06-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P06-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P06-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P07-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P07-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P07-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P07-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P07-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P08-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P08-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P08-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P08-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P08-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
GD-000-GD-001,Pipework resting on beam/Guide,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD-001-GD-002,Pipework resting on beam/Guide,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD-002-GD-003,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD-050-GD-051,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD-051-GD-055,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD-16-GD-17,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
GD-17-GD-18,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
GD011-GD018,Pipework resting on beam,No,Nitrogen,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
GD-001-GD-002,Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD-001-GD-002,Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD-075-GD-076,Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,1
"BTF-GD00,03,13,14,123",Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,0
"GD01, 07-19,27, 34, 38,
124",Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,1
"GD06,26",Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD06-60,Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD33,Pipework resting on beam,No,Treated Water,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,1
GD-01-GD-05,Pipework resting on beam/Guide,No,Utility Air,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,0
GD-10-GD-13,Pipework resting on beam,No,Utility Air,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
BTF-GD00,Pipework resting on beam/fully welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
BTF-GD00,Pipework resting on beam/partially welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,0
GD00-GD01,Pipework resting on beam/Guide,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,3
GD01-GD02,Pipework resting on beam/Guide,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD09-GD10,Pipework resting on beam,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
GD23-GD25,Pipework resting on beam/partially welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
"GD28,GD37",Pipework resting on beam/partially welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
"GD46,79,82,91,122,123",Pipework resting on beam/partially welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
GD124,Pipework resting on beam/fully welded saddle,No,Line to Flare,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
1(BTF-GD000),Pipework resting on beam/fully welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
2(BTF-GD001),Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
3(BTF-GD001),Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
4(GD000-GD001),Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
6(GD001-GD002),Pipework resting on beam/fully welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
9(GD002-GD003),Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,1
"11(GD028-029,068,089,096,123)",Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
1(BTF-GD-000),Pipework resting on beam/partially welded saddle,No,Butene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
3(GD-027-GD-028),Pipework resting on beam/Guide,No,Butene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
4(GD-033-GD-034),Pipework resting on beam/Guide/ partially welded saddle,No,Butene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
5(GD-039-GD-040),Pipework resting on beam,No,Butene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,1
1(GD001-GD003),Pipework resting on beam/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
2(GD001-GD003),Pipework resting on beam/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
4(GD006-GD009),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
5(GD009-GD015),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
6(GD015-GD021),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
7(GD021-GD033),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
8(GD033-GD057),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
9(GD057-GD075),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
10(GD075-GD090),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
11(GD090-GD106),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
12(GD106-GD124),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
13(GD006-018),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
16(GD016-017),Pipework resting on beam/Guide/partially welded saddle,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
17(GD017-018),Pipework resting on beam,No,BD,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
2(BTF-GD003),Pipework resting on beam,No,MEG,35.0,35.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
"3(GD002,003,023,026,041,099,123,124)",Pipework resting on beam,No,MEG,35.0,35.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
"BTF-GD001, GD002-003",Pipework resting on beam/fully welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
"GD068, 090, 096, 124",Pipework resting on beam,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
GD001-003,Pipework resting on beam/partially welded saddle,No,VCM,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
BTF-GD003,Pipework resting on beam/partially welded saddle,No,CAR,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
BTF-GD009,Pipework resting on beam/partially welded saddle,No,CAR,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
GD001-002,Pipework resting on beam/partially welded saddle,No,CAR,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
GD-000-GD-001,Pipework resting on beam/partially welded saddle,No,EDC,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
GD-003-GD-004,Pipework resting on beam/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
GD-075-GD-076,Pipework resting on beam/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
GD-077-GD-078,Pipework resting on beam/Guide/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
GD-095-GD-096,Pipework resting on beam/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,No,Coastal/Marine,2
GD-01-GD-02,Pipework resting on beam/Guide/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,2
GD-16-GD-17,Pipework resting on beam/Guide/partially welded saddle,No,EDC Vapor,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,1
1(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
2(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
3(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
4(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
5(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
6(BFT),Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,0
GD01,Pipework resting on beam/partially welded saddle,No,Propylene,35.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,No,High-build Polyamide Epoxy,Polyamide epoxy,Yes,Coastal/Marine,3
